order_date,order_platform,order_revenue_source,order_sale_type,order_country,order_state,customer_type,order_discount_code,num_orders,order_revenue,order_refund,item_quantity
10/31/22,Shopify,Carro,DTC,United States Of America,CA,Existing,Carro Retailer Wholesale Price,1,25.277751,0,1
9/14/22,Amazon,Amazon,DTC,Australia,Unknown,New,,8,258,0,8
11/30/22,Amazon,Amazon,DTC,Australia,Unknown,New,Duplicated A29gaxra8el3qd 1507929674548,4,109.5,0,5
9/15/22,Amazon,Amazon,DTC,Australia,Unknown,New,,9,219,0,9
2/28/23,Amazon,Amazon,DTC,Australia,Unknown,Existing,,7,219,0,8
1/21/23,Amazon,Amazon,DTC,New Zealand,Unknown,Existing,,1,45,0,1
1/1/23,Amazon,Amazon,DTC,Australia,Unknown,Existing,Duplicated A29gaxra8el3qd 1507929674548,1,49.5,0,1
11/5/22,Amazon,Amazon,DTC,Australia,Unknown,New,Duplicated A29gaxra8el3qd 1507929674548,9,364.5,0,11
2/14/23,Amazon,Amazon,DTC,Australia,Unknown,New,Duplicated A29gaxra8el3qd 1507929674548,6,159,0,6
10/31/22,Amazon,Amazon,DTC,Australia,Unknown,New,Duplicated A29gaxra8el3qd 1507929674548,9,318,0,11
1/5/23,Amazon,Amazon,DTC,United States Of America,NY,New,,5,133.0405971,0,7
10/23/22,Amazon,Amazon,DTC,United States Of America,TX,Existing,,2,47.02985085,0,2
12/22/22,Amazon,Amazon,DTC,United States Of America,CA,New,,9,259.6050197,0,10
3/7/23,Amazon,Amazon,DTC,United States Of America,CT,New,,2,44.96101748,0,2
2/17/23,Amazon,Amazon,DTC,United States Of America,FL,Existing,,1,39.33455125,0,1
3/8/23,Amazon,Amazon,DTC,Unknown,Unknown,Existing,Us Core Free Shipping Promotion A3ju1fcinf5sd0,1,22.7599166,0,1
3/8/23,Amazon,Amazon,DTC,United States Of America,NJ,Existing,,1,22.7599166,0,1
3/9/23,Amazon,Amazon,DTC,United States Of America,NH,Existing,,1,45.5198332,0,1
10/25/22,Amazon,Amazon,DTC,Canada,Unknown,Existing,,1,21.71273136,0,1
10/12/22,Amazon,Amazon,DTC,Canada,Unknown,New,,40,682.6895594,0,40
12/7/22,Amazon,Amazon,DTC,United States Of America,IN,Existing,Fba Subscribe  Save Discount,1,20.14892031,0,1
10/24/22,Amazon,Amazon,DTC,United States Of America,MS,New,,1,23.68313571,0,1
2/18/23,Amazon,Amazon,DTC,United States Of America,CT,Existing,,2,43.63701425,0,2
2/18/23,Amazon,Amazon,DTC,United States Of America,PA,New,,2,43.63701425,0,2
12/13/22,Amazon,Amazon,DTC,United States Of America,IL,New,,1,22.11871935,0,1
12/12/22,Amazon,Amazon,DTC,Hong Kong,Unknown,New,Duplicated A3ju1fcinf5sd0 1569460229772,1,22.11871935,0,1
11/18/22,Amazon,Amazon,DTC,United States Of America,FL,New,,7,157.0128449,0,7
3/10/23,Amazon,Amazon,DTC,United States Of America,WA,Existing,,1,22.74778969,0,1
1/22/23,Amazon,Amazon,DTC,United States Of America,WI,Existing,Us Core Free Shipping Promotion A3ju1fcinf5sd0,1,21.53117131,0,1
1/21/23,Amazon,Amazon,DTC,United States Of America,VA,Existing,,1,21.53117131,0,1
1/22/23,Amazon,Amazon,DTC,Unknown,Unknown,Existing,,1,43.06234262,0,1
3/2/23,Amazon,Amazon,DTC,United States Of America,OK,New,,2,44.44020843,0,2
10/25/22,Amazon,Amazon,DTC,United States Of America,MA,New,,1,23.68313571,0,1
10/25/22,Amazon,Amazon,DTC,United States Of America,CT,New,,1,23.68313571,0,1
10/24/22,Amazon,Amazon,DTC,United States Of America,KY,New,Us Core Free Shipping Promotion A3ju1fcinf5sd0,1,23.68313571,0,1
10/25/22,Amazon,Amazon,DTC,United States Of America,WA,New,,2,47.36627142,0,2
3/10/23,Amazon,Amazon,DTC,United States Of America,AZ,Existing,,1,45.49557938,0,1
2/5/23,Amazon,Amazon,DTC,United States Of America,MD,New,,1,21.65558831,0,1
2/6/23,Amazon,Amazon,DTC,United States Of America,DE,New,,1,21.65558831,0,1
2/5/23,Amazon,Amazon,DTC,United States Of America,PA,New,,2,43.31117662,0,2
2/6/23,Amazon,Amazon,DTC,United States Of America,PA,New,Us Core Free Shipping Promotion A3ju1fcinf5sd0,2,43.31117662,0,2
2/5/23,Amazon,Amazon,DTC,United States Of America,RI,Existing,,1,43.31117662,0,1
10/13/22,Amazon,Amazon,DTC,United States Of America,NJ,Existing,,1,34.3956767,0,1
1/29/23,Amazon,Amazon,DTC,United States Of America,NY,New,,5,104.9371053,0,5
1/1/23,Amazon,Amazon,DTC,Canada,Unknown,New,,9,204.4696392,0,9
